mdate,Rf,MktRf,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
192607,0.22%,2.62%,0.53%,-5.19%,1.29%,2.30%,10.97%,-0.50%,8.08%,1.64%,7.92%,0.68%,2.00%,4.03%,5.48%,3.18%,16.45%,0.94%,5.64%,1.54%,-1.39%,7.10%,0.83%,9.22%,2.06%,7.66%,1.91%,-23.79%,-2.94%,1.83%,0.16%,5.20%
192608,0.25%,2.56%,2.71%,27.03%,6.53%,0.54%,10.01%,-3.58%,-2.51%,4.51%,5.41%,7.49%,4.63%,2.15%,2.12%,2.10%,4.19%,1.75%,0.55%,0.85%,3.52%,-1.74%,2.17%,2.02%,4.40%,-2.37%,4.87%,5.39%,-0.56%,-0.09%,4.38%,6.76%
192609,0.23%,0.36%,1.29%,4.02%,1.22%,5.92%,-0.99%,0.71%,-0.51%,0.61%,5.37%,2.40%,-0.52%,0.29%,0.34%,-0.56%,4.89%,2.58%,1.75%,0.30%,-3.67%,1.96%,2.41%,2.25%,0.18%,-5.55%,0.06%,-7.87%,0.17%,-0.58%,-1.36%,-3.86%
192610,0.32%,-3.43%,-3.13%,-3.31%,1.07%,-4.41%,9.47%,-4.66%,0.12%,-0.73%,-4.79%,0.07%,-4.50%,-3.79%,1.11%,-5.73%,-7.93%,-5.31%,-3.20%,2.23%,-1.04%,-2.67%,-0.11%,-2.00%,-1.08%,-5.03%,-2.65%,-15.38%,-5.34%,-4.13%,-5.09%,-8.49%
192611,0.31%,2.44%,6.28%,7.29%,4.41%,2.60%,-5.80%,-0.51%,1.87%,5.53%,5.34%,3.48%,2.23%,3.88%,3.21%,5.08%,-0.68%,7.65%,8.46%,-0.48%,0.03%,3.76%,1.63%,3.77%,3.64%,3.81%,1.59%,4.67%,4.04%,4.32%,2.29%,4.00%
192612,0.28%,2.77%,-0.45%,-4.09%,2.57%,1.62%,0.53%,2.53%,0.60%,0.15%,5.42%,7.42%,3.50%,3.65%,5.01%,-2.47%,10.52%,2.47%,1.83%,1.43%,2.93%,-0.12%,1.99%,6.21%,7.24%,-4.59%,3.60%,9.65%,2.93%,1.52%,2.79%,-2.34%
192701,0.25%,-0.11%,-0.70%,0.57%,-0.35%,2.46%,9.67%,4.07%,-1.06%,4.91%,0.24%,-2.89%,-1.74%,-0.36%,1.17%,-1.02%,-0.80%,-0.58%,4.17%,-3.06%,1.58%,-1.78%,1.88%,2.08%,-1.45%,-2.58%,1.45%,-17.93%,-3.34%,1.53%,-2.48%,-3.96%
192702,0.26%,4.32%,4.29%,12.83%,1.63%,1.43%,1.41%,4.59%,2.77%,1.65%,9.62%,8.05%,4.24%,3.68%,7.87%,4.30%,9.53%,4.58%,5.20%,5.64%,1.07%,4.57%,3.97%,8.90%,4.85%,5.41%,5.20%,3.49%,4.48%,6.81%,2.77%,0.28%
192703,0.30%,0.32%,1.98%,-13.56%,5.61%,0.57%,-0.28%,-0.08%,0.90%,0.88%,6.28%,-5.84%,3.49%,1.43%,-2.25%,0.40%,1.58%,-1.76%,4.44%,5.45%,-6.95%,0.44%,5.56%,-7.80%,4.30%,-9.68%,1.07%,-20.47%,3.05%,-2.44%,1.41%,2.18%
192704,0.25%,0.41%,2.60%,2.85%,4.09%,-3.34%,-0.96%,1.44%,5.95%,3.25%,2.97%,0.68%,-1.04%,-0.28%,1.78%,6.29%,2.92%,-0.80%,3.02%,0.95%,-5.72%,1.65%,-2.13%,3.44%,3.10%,4.89%,0.75%,-10.75%,2.09%,6.02%,3.76%,5.27%
192705,0.30%,5.39%,6.14%,11.62%,11.87%,-0.50%,3.13%,10.60%,3.38%,4.01%,3.99%,14.72%,7.73%,3.14%,8.82%,8.23%,5.52%,10.78%,0.26%,3.19%,4.97%,9.31%,3.35%,18.33%,5.10%,5.39%,6.92%,-4.01%,0.49%,4.69%,10.25%,1.64%
192706,0.26%,-2.30%,-2.16%,10.05%,-2.24%,-7.05%,12.54%,-3.01%,1.17%,0.45%,-1.80%,2.61%,-4.67%,-3.36%,-2.28%,3.47%,-3.33%,-4.06%,-1.93%,-3.35%,-3.18%,-3.64%,-2.14%,-6.80%,2.74%,5.39%,-1.99%,-4.18%,0.17%,1.26%,0.44%,-3.82%
192707,0.30%,7.27%,5.03%,4.59%,4.41%,0.78%,1.78%,5.52%,6.02%,9.84%,17.68%,4.09%,6.32%,10.36%,9.61%,14.29%,13.75%,11.99%,9.77%,2.19%,2.96%,5.31%,3.73%,2.15%,5.99%,12.02%,6.03%,11.11%,9.65%,4.68%,7.82%,6.81%
